,id,suffix,tld,punycode,origin,type,tld type,suffix type,tld manager,psl comment,code
48,48,consulting.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00048sp1
49,49,control.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00049sp1
50,50,council.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00050sp1
51,51,crew.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00051sp1
52,52,design.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00052sp1
53,53,dgca.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00053sp1
54,54,educator.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00054sp1
55,55,emergency.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00055sp1
56,56,engine.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00056sp1
57,57,engineer.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00057sp1
58,58,entertainment.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00058sp1
59,59,equipment.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00059sp1
60,60,exchange.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00060sp1
61,61,express.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00061sp1
62,62,federation.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00062sp1
63,63,flight.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00063sp1
64,64,fuel.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00064sp1
65,65,gliding.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00065sp1
66,66,government.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00066sp1
67,67,groundhandling.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00067sp1
68,68,group.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00068sp1
69,69,hanggliding.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00069sp1
70,70,homebuilt.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00070sp1
71,71,insurance.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00071sp1
72,72,journal.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00072sp1
73,73,journalist.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00073sp1
74,74,leasing.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00074sp1
75,75,logistics.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00075sp1
76,76,magazine.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00076sp1
77,77,maintenance.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00077sp1
78,78,media.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00078sp1
79,79,microlight.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00079sp1
80,80,modelling.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00080sp1
81,81,navigation.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00081sp1
82,82,parachuting.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00082sp1
83,83,paragliding.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00083sp1
84,84,passenger-association.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00084sp1
85,85,pilot.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00085sp1
86,86,press.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00086sp1
87,87,production.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00087sp1
88,88,recreation.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00088sp1
89,89,repbody.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00089sp1
90,90,res.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00090sp1
91,91,research.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00091sp1
92,92,rotorcraft.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00092sp1
