,Domain,Type,TLD Manager
1467,.クラウド,generic,"Amazon Registry Services, Inc."
1468,.ભારત,country-code,National Internet Exchange of India
1469,.通販,generic,"Amazon Registry Services, Inc."
1470,.भारतम्,country-code,National Internet eXchange of India
1471,.भारत,country-code,National Internet Exchange of India
1472,.भारोत,country-code,National Internet eXchange of India
1473,‏.آزمایشی‎,test,Internet Assigned Numbers Authority
1474,.பரிட்சை,test,Internet Assigned Numbers Authority
1475,.网店,generic,Zodiac Taurus Ltd.
1476,.संगठन,generic,Public Interest Registry
1477,.餐厅,generic,Internet DotTrademark Organisation Limited
1478,.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
1479,.ком,generic,VeriSign Sarl
1480,.укр,country-code,"Ukrainian Network Information Centre (UANIC), Inc."
1481,.香港,country-code,Hong Kong Internet Registration Corporation Ltd.
1482,.亚马逊,generic,"Amazon Registry Services, Inc."
1483,.诺基亚,generic,Nokia Corporation
1484,.食品,generic,"Amazon Registry Services, Inc."
1485,.δοκιμή,test,Internet Assigned Numbers Authority
1486,.飞利浦,generic,Koninklijke Philips N.V.
1487,‏.إختبار‎,test,Internet Assigned Numbers Authority
1488,.台湾,country-code,Taiwan Network Information Center (TWNIC)
1489,.台灣,country-code,Taiwan Network Information Center (TWNIC)
1490,.手表,generic,Not assigned
1491,.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd"
1492,.мон,country-code,"Datacom Co.,Ltd"
1493,‏.الجزائر‎,country-code,CERIST
1494,‏.عمان‎,country-code,Telecommunications Regulatory Authority (TRA)
1495,‏.ارامكو‎,generic,Aramco Services Company
1496,‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM)
1497,‏.العليان‎,generic,Crescent Holding GmbH
1498,‏.اتصالات‎,generic,Emirates Telecommunications Corporation (trading as Etisalat)
1499,‏.امارات‎,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
1500,‏.بازار‎,generic,CORE Association
1501,‏.موريتانيا‎,country-code,Université de Nouakchott Al Aasriya
1502,‏.پاکستان‎,country-code,National Telecommunication Corporation
1503,‏.الاردن‎,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE)
1504,‏.موبايلي‎,generic,Not assigned
1505,‏.بارت‎,country-code,National Internet eXchange of India
1506,‏.بھارت‎,country-code,National Internet Exchange of India
1507,‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
1508,‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre
1509,‏.البحرين‎,country-code,Telecommunications Regulatory Authority (TRA)
1510,‏.السعودية‎,country-code,Communications and Information Technology Commission
1511,‏.ڀارت‎,country-code,National Internet eXchange of India
1512,‏.كاثوليك‎,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1513,‏.سودان‎,country-code,Sudan Internet Society
1514,‏.همراه‎,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1515,‏.عراق‎,country-code,Communications and Media Commission (CMC)
1516,‏.مليسيا‎,country-code,MYNIC Berhad
1517,.澳門,country-code,Macao Post and Telecommunications Bureau (CTT)
1518,.닷컴,generic,VeriSign Sarl
1519,.政府,generic,"Net-Chinese Co., Ltd."
1520,‏.شبكة‎,generic,International Domain Registry Pty. Ltd.
1521,‏.بيتك‎,generic,Kuwait Finance House
1522,‏.عرب‎,generic,League of Arab States
1523,.გე,country-code,Information Technologies Development Center (ITDC)
1524,.机构,generic,Public Interest Registry
1525,.组织机构,generic,Public Interest Registry
1526,.健康,generic,Stable Tone Limited
1527,.ไทย,country-code,Thai Network Information Center Foundation
1528,‏.سورية‎,country-code,National Agency for Network Services (NANS)
1529,.招聘,generic,Dot Trademark TLD Holding Company Limited
1530,.рус,generic,Rusnames Limited
1531,.рф,country-code,Coordination Center for TLD RU
1532,.珠宝,generic,Not assigned
1533,‏.تونس‎,country-code,Agence Tunisienne d'Internet
1534,.大拿,generic,VeriSign Sarl
1535,.ລາວ,country-code,Lao National Internet Center (LANIC)
1536,.みんな,generic,Charleston Road Registry Inc.
1537,.グーグル,generic,Charleston Road Registry Inc.
1538,.ευ,country-code,EURid vzw/asbl
1539,.ελ,country-code,ICS-FORTH GR
1540,.世界,generic,Stable Tone Limited
1541,.書籍,generic,"Amazon Registry Services, Inc."
1542,.ഭാരതം,country-code,National Internet eXchange of India
1543,.ਭਾਰਤ,country-code,National Internet Exchange of India
1544,.网址,generic,"KNET Co., Ltd"
1545,.닷넷,generic,VeriSign Sarl
1546,.コム,generic,VeriSign Sarl
1547,.天主教,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1548,.游戏,generic,"Binky Moon, LLC"
1549,.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1550,.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1551,.企业,generic,"Binky Moon, LLC"
1552,.信息,generic,"Beijing Tele-info Network Technology Co., Ltd."
1553,.嘉里大酒店,generic,Kerry Trading Co. Limited
1554,.嘉里,generic,Kerry Trading Co. Limited
1555,‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA
1556,‏.قطر‎,country-code,Communications Regulatory Authority
1557,.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1558,.இலங்கை,country-code,LK Domain Registry
1559,.இந்தியா,country-code,National Internet Exchange of India
1560,.հայ,country-code,"""Internet Society"" Non-governmental Organization"
1561,.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1562,‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT)
1563,.テスト,test,Internet Assigned Numbers Authority
1564,.政务,generic,China Organizational Name Administration Center
1565,.xperia,generic,Not assigned
1566,.xxx,sponsored,ICM Registry LLC
1567,.xyz,generic,XYZ.COM LLC
1568,.yachts,generic,XYZ.COM LLC
1569,.yahoo,generic,OATH INC
1570,.yamaxun,generic,"Amazon Registry Services, Inc."
1571,.yandex,generic,Yandex Europe B.V.
1572,.ye,country-code,TeleYemen
1573,.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD."
1574,.yoga,generic,"Registry Services, LLC"
1575,.yokohama,generic,"GMO Registry, Inc."
1576,.you,generic,"Amazon Registry Services, Inc."
1577,.youtube,generic,Charleston Road Registry Inc.
1578,.yt,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1579,.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1580,.za,country-code,ZA Domain Name Authority
1581,.zappos,generic,"Amazon Registry Services, Inc."
1582,.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
1583,.zero,generic,"Amazon Registry Services, Inc."
1584,.zip,generic,Charleston Road Registry Inc.
1585,.zippo,generic,Not assigned
1586,.zm,country-code,Zambia Information and Communications Technology Authority (ZICTA)
1587,.zone,generic,"Binky Moon, LLC"
1588,.zuerich,generic,Kanton Zürich (Canton of Zurich)
1589,.zw,country-code,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
