,Domain,Type,TLD Manager
1064,.richardli,generic,Pacific Century Asset Management (HK) Limited
1065,.ricoh,generic,"Ricoh Company, Ltd."
1066,.rightathome,generic,Not assigned
1067,.ril,generic,Reliance Industries Limited
1068,.rio,generic,Empresa Municipal de Informática SA - IPLANRIO
1069,.rip,generic,"Dog Beach, LLC"
1070,.rmit,generic,Not assigned
1071,.ro,country-code,National Institute for R&D in Informatics
1072,.rocher,generic,Ferrero Trading Lux S.A.
1073,.rocks,generic,"Dog Beach, LLC"
1074,.rodeo,generic,"Registry Services, LLC"
1075,.rogers,generic,Rogers Communications Canada Inc.
1076,.room,generic,"Amazon Registry Services, Inc."
1077,.rs,country-code,Serbian National Internet Domain Registry (RNIDS)
1078,.rsvp,generic,Charleston Road Registry Inc.
1079,.ru,country-code,Coordination Center for TLD RU
1080,.rugby,generic,World Rugby Strategic Developments Limited
1081,.ruhr,generic,regiodot GmbH & Co. KG
1082,.run,generic,"Binky Moon, LLC"
1083,.rw,country-code,Rwanda Internet Community and Technology Alliance (RICTA) Ltd
1084,.rwe,generic,RWE AG
1085,.ryukyu,generic,"BRregistry, Inc."
1086,.sa,country-code,Communications and Information Technology Commission
1087,.saarland,generic,dotSaarland GmbH
1088,.safe,generic,"Amazon Registry Services, Inc."
1089,.safety,generic,"Safety Registry Services, LLC."
1090,.sakura,generic,SAKURA Internet Inc.
1091,.sale,generic,"Dog Beach, LLC"
1092,.salon,generic,"Binky Moon, LLC"
1093,.samsclub,generic,"Wal-Mart Stores, Inc."
1094,.samsung,generic,"SAMSUNG SDS CO., LTD"
1095,.sandvik,generic,Sandvik AB
1096,.sandvikcoromant,generic,Sandvik AB
1097,.sanofi,generic,Sanofi
1098,.sap,generic,SAP AG
1099,.sapo,generic,Not assigned
1100,.sarl,generic,"Binky Moon, LLC"
1101,.sas,generic,Research IP LLC
1102,.save,generic,"Amazon Registry Services, Inc."
1103,.saxo,generic,Saxo Bank A/S
1104,.sb,country-code,Solomon Telekom Company Limited
1105,.sbi,generic,STATE BANK OF INDIA
1106,.sbs,generic,SPECIAL BROADCASTING SERVICE CORPORATION
1107,.sc,country-code,VCS Pty Ltd
1108,.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ)
1109,.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")"
1110,.schaeffler,generic,Schaeffler Technologies AG & Co. KG
