,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
449,fish,gTLD,,,,,no,"Binky Moon, LLC"
450,fishing,gTLD,,,,,no,Minds + Machines Group Limited
451,fit,gTLD,,,,,no,Minds + Machines Group Limited
452,fitness,gTLD,,,,,no,"Binky Moon, LLC"
453,fj,ccTLD,,,,,no,The University of the South Pacific IT Services
454,fk,ccTLD,,,,,no,Falkland Islands Government
455,flickr,gTLD,,,,,no,"Flickr, Inc."
456,flights,gTLD,,,,,no,"Binky Moon, LLC"
457,flir,gTLD,,,,,no,"FLIR Systems, Inc."
458,florist,gTLD,,,,,no,"Binky Moon, LLC"
459,flowers,gTLD,,,,,no,"Uniregistry, Corp."
460,flsmidth,gTLD,,,,,no,Retired
461,fly,gTLD,,,,,no,Charleston Road Registry Inc.
462,fm,ccTLD,,,,,no,FSM Telecommunications Corporation
463,fo,ccTLD,,,,,no,FO Council
464,foo,gTLD,,,,,no,Charleston Road Registry Inc.
465,food,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
466,foodnetwork,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
467,football,gTLD,,,,,no,"Binky Moon, LLC"
468,ford,gTLD,,,,,no,Ford Motor Company
469,forex,gTLD,,,,,no,DOTFOREX REGISTRY LTD
470,forsale,gTLD,,,,,no,"United TLD Holdco, LLC"
471,forum,gTLD,,,,,no,"Fegistry, LLC"
472,foundation,gTLD,,,,,no,"Binky Moon, LLC"
473,fox,gTLD,,,,,no,"FOX Registry, LLC"
474,fr,ccTLD,,,,,no,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
475,free,gTLD,,,,,no,"Amazon Registry Services, Inc."
476,fresenius,gTLD,,,,,no,Fresenius Immobilien-Verwaltungs-GmbH
477,frl,gTLD,,,,,no,FRLregistry B.V.
478,frogans,gTLD,,,,,no,OP3FT
479,frontdoor,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
480,frontier,gTLD,,,,,no,Frontier Communications Corporation
481,ftr,gTLD,,,,,no,Frontier Communications Corporation
482,fujitsu,gTLD,,,,,no,Fujitsu Limited
483,fujixerox,gTLD,,,,,no,Xerox DNHC LLC
484,fun,gTLD,,,,,no,"DotSpace, Inc."
485,fund,gTLD,,,,,no,"Binky Moon, LLC"
486,furniture,gTLD,,,,,no,"Binky Moon, LLC"
487,futbol,gTLD,,,soccer,,no,"United TLD Holdco, Ltd."
488,fyi,gTLD,,,,,no,"Binky Moon, LLC"
489,ga,ccTLD,,,,,no,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
490,gal,gTLD,,,,,no,Asociación puntoGAL
491,gallery,gTLD,,,,,no,"Binky Moon, LLC"
492,gallo,gTLD,,,,,no,"Gallo Vineyards, Inc."
493,gallup,gTLD,,,,,no,"Gallup, Inc."
494,game,gTLD,,,,,no,"Uniregistry, Corp."
495,games,gTLD,,,,,no,United TLD Holdco Ltd.
496,gap,gTLD,,,,,no,"The Gap, Inc."
497,garden,gTLD,,,,,no,Minds + Machines Group Limited
498,gay,gTLD,,,,,no,"Top Level Design, LLC"
499,gb,ccTLD,,,,,no,Reserved Domain - IANA
500,gbiz,gTLD,,,,,no,Charleston Road Registry Inc.
501,gd,ccTLD,,,,,no,The National Telecommunications Regulatory Commission (NTRC)
502,gdn,gTLD,,,,,no,"Joint Stock Company ""Navigation-information systems"""
503,ge,ccTLD,,,,,no,Caucasus Online LLC
504,gea,gTLD,,,,,no,GEA Group Aktiengesellschaft
505,gent,gTLD,,,,,no,Combell nv
506,genting,gTLD,,,,,no,Resorts World Inc. Pte. Ltd.
507,george,gTLD,,,,,no,"Wal-Mart Stores, Inc."
508,gf,ccTLD,,,,,no,Net Plus
509,gg,ccTLD,,,,,no,Island Networks Ltd.
510,ggee,gTLD,,,,,no,"GMO Internet, Inc."
511,gh,ccTLD,,,,,no,Network Computer Systems Limited
512,gi,ccTLD,,,,,no,Sapphire Networks
513,gift,gTLD,,,,,no,"Uniregistry, Corp."
514,gifts,gTLD,,,,,no,"Binky Moon, LLC"
515,gives,gTLD,,,,,no,United TLD Holdco Ltd.
516,giving,gTLD,,,,,no,Giving Limited
517,gl,ccTLD,,,,,no,TELE Greenland A/S
518,glade,gTLD,,,,,no,"Johnson Shareholdings, Inc."
519,glass,gTLD,,,,,no,"Binky Moon, LLC"
520,gle,gTLD,,,,,no,Charleston Road Registry Inc.
521,global,gTLD,,,,,no,Dot Global Domain Registry Limited
522,globo,gTLD,,,,,no,Globo Comunicação e Participações S.A
523,gm,ccTLD,,,,,no,GM-NIC
524,gmail,gTLD,,,,,no,Charleston Road Registry Inc.
525,gmbh,gTLD,,,company,,no,"Binky Moon, LLC"
526,gmo,gTLD,,,,,no,"GMO Internet, Inc."
527,gmx,gTLD,,,,,no,1&1 Mail & Media GmbH
528,gn,ccTLD,,,,,no,Centre National des Sciences Halieutiques de Boussoura
529,godaddy,gTLD,,,,,no,"Go Daddy East, LLC"
530,gold,gTLD,,,,,no,"Binky Moon, LLC"
531,goldpoint,gTLD,,,,,no,"YODOBASHI CAMERA CO.,LTD."
532,golf,gTLD,,,,,no,"Binky Moon, LLC"
533,goo,gTLD,,,,,no,NTT Resonant Inc.
534,goodhands,gTLD,,,,,no,Not assigned
535,goodyear,gTLD,,,,,no,The Goodyear Tire & Rubber Company
536,goog,gTLD,,,,,no,Charleston Road Registry Inc.
537,google,gTLD,,,,,no,Charleston Road Registry Inc.
538,gop,gTLD,,,,,no,"Republican State Leadership Committee, Inc."
539,got,gTLD,,,,,no,"Amazon Registry Services, Inc."
540,gov,sTLD,,,,,no,"General Services Administration Attn: QTDC, 2E08 (.gov Domain Registration)"
541,gp,ccTLD,,,,,no,Networking Technologies Group
542,gq,ccTLD,,,,,no,GETESA
543,gr,ccTLD,,,,,no,ICS-FORTH GR
544,grainger,gTLD,,,,,no,"Grainger Registry Services, LLC"
545,graphics,gTLD,,,,,no,"Binky Moon, LLC"
546,gratis,gTLD,,,free,,no,"Binky Moon, LLC"
547,green,gTLD,,,,,no,Afilias Limited
548,gripe,gTLD,,,,,no,"Binky Moon, LLC"
549,grocery,gTLD,,,,,no,"Wal-Mart Stores, Inc."
550,group,gTLD,,,,,no,"Binky Moon, LLC"
551,gs,ccTLD,,,,,no,Government of South Georgia and South Sandwich Islands (GSGSSI)
552,gt,ccTLD,,,,,no,Universidad del Valle de Guatemala
553,gu,ccTLD,,,,,no,University of Guam
554,guardian,gTLD,,,,,no,The Guardian Life Insurance Company of America
555,gucci,gTLD,,,,,no,Guccio Gucci S.p.a.
556,guge,gTLD,,,,,no,Charleston Road Registry Inc.
557,guide,gTLD,,,,,no,"Binky Moon, LLC"
558,guitars,gTLD,,,,,no,"Uniregistry, Corp."
559,guru,gTLD,,,,,no,"Binky Moon, LLC"
560,gw,ccTLD,,,,,no,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
561,gy,ccTLD,,,,,no,University of Guyana
562,hair,gTLD,,,,,no,XYZ.COM LLC
563,hamburg,gTLD,,,,,no,Hamburg Top-Level-Domain GmbH
564,hangout,gTLD,,,,,no,Charleston Road Registry Inc.
565,haus,gTLD,,,house,,no,"United TLD Holdco, LTD."
566,hbo,gTLD,,,,,no,"HBO Registry Services, Inc."
567,hdfc,gTLD,,,,,no,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
568,hdfcbank,gTLD,,,,,no,HDFC Bank Limited
569,health,gTLD,,,,,no,"DotHealth, LLC"
570,healthcare,gTLD,,,,,no,"Binky Moon, LLC"
571,help,gTLD,,,,,no,"Uniregistry, Corp."
572,helsinki,gTLD,,,,,no,City of Helsinki
573,here,gTLD,,,,,no,Charleston Road Registry Inc.
574,hermes,gTLD,,,,,no,Hermes International
575,hgtv,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
576,hiphop,gTLD,,,,,no,"Uniregistry, Corp."
577,hisamitsu,gTLD,,,,,no,"Hisamitsu Pharmaceutical Co.,Inc."
578,hitachi,gTLD,,,,,no,"Hitachi, Ltd."
579,hiv,gTLD,,,,,no,"Uniregistry, Corp."
580,hk,ccTLD,,,,,no,Hong Kong Internet Registration Corporation Ltd.
581,hkt,gTLD,,,,,no,PCCW-HKT DataCom Services Limited
582,hm,ccTLD,,,,,no,HM Domain Registry
583,hn,ccTLD,,,,,no,Red de Desarrollo Sostenible Honduras
584,hockey,gTLD,,,,,no,"Binky Moon, LLC"
585,holdings,gTLD,,,,,no,"Binky Moon, LLC"
586,holiday,gTLD,,,,,no,"Binky Moon, LLC"
587,homedepot,gTLD,,,,,no,"Home Depot Product Authority, LLC"
588,homegoods,gTLD,,,,,no,"The TJX Companies, Inc."
589,homes,gTLD,,,,,no,"DERHomes, LLC"
590,homesense,gTLD,,,,,no,"The TJX Companies, Inc."
591,honda,gTLD,,,,,no,"Honda Motor Co., Ltd."
592,honeywell,gTLD,,,,,no,Not assigned
593,horse,gTLD,,,,,no,Minds + Machines Group Limited
594,hospital,gTLD,,,,,no,"Binky Moon, LLC"
595,host,gTLD,,,,,no,DotHost Inc.
596,hosting,gTLD,,,,,no,"Uniregistry, Corp."
597,hot,gTLD,,,,,no,"Amazon Registry Services, Inc."
598,hoteles,gTLD,,,hotels,,no,Travel Reservations SRL
599,hotels,gTLD,,,,,no,Booking.com B.V.
600,hotmail,gTLD,,,,,no,Microsoft Corporation
601,house,gTLD,,,,,no,"Binky Moon, LLC"
602,how,gTLD,,,,,no,Charleston Road Registry Inc.
603,hr,ccTLD,,,,,no,CARNet - Croatian Academic and Research Network
604,hsbc,gTLD,,,,,no,HSBC Global Services (UK) Limited
605,ht,ccTLD,,,,,no,Consortium FDS/RDDH
606,htc,gTLD,,,,,no,Not assigned
607,hu,ccTLD,,,,,no,Council of Hungarian Internet Providers (CHIP)
608,hughes,gTLD,,,,,no,Hughes Satellite Systems Corporation
609,hyatt,gTLD,,,,,no,"Hyatt GTLD, L.L.C."
610,hyundai,gTLD,,,,,no,Hyundai Motor Company
611,ibm,gTLD,,,,,no,International Business Machines Corporation
612,icbc,gTLD,,,,,no,Industrial and Commercial Bank of China Limited
613,ice,gTLD,,,,,no,"IntercontinentalExchange, Inc."
614,icu,gTLD,,,,,no,Shortdot SA
615,id,ccTLD,,,,,no,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
616,ie,ccTLD,,,,,no,University College Dublin Computing Services Computer Centre
617,ieee,gTLD,,,,,no,IEEE Global LLC
618,ifm,gTLD,,,,,no,ifm electronic gmbh
619,iinet,gTLD,,,,,no,Retired
620,ikano,gTLD,,,,,no,Ikano S.A.
621,il,ccTLD,,,,,no,Internet Society of Israel
622,im,ccTLD,,,,,no,Isle of Man Government
623,imamat,gTLD,,,,,no,Fondation Aga Khan (Aga Khan Foundation)
624,imdb,gTLD,,,,,no,"Amazon Registry Services, Inc."
625,immo,gTLD,,,real estate,,no,"Binky Moon, LLC"
626,immobilien,gTLD,,,real estate,,no,United TLD Holdco Ltd.
627,in,ccTLD,,,,,no,National Internet Exchange of India
628,inc,gTLD,,,,,no,Intercap Registry Inc.
629,industries,gTLD,,,,,no,"Binky Moon, LLC"
630,infiniti,gTLD,,,,,no,"NISSAN MOTOR CO., LTD."
631,info,gTLD,,,,,no,Afilias Limited
632,ing,gTLD,,,,,no,Charleston Road Registry Inc.
633,ink,gTLD,,,,,no,"Top Level Design, LLC"
634,institute,gTLD,,,,,no,"Binky Moon, LLC"
635,insurance,gTLD,,,,,no,fTLD Registry Services LLC
636,insure,gTLD,,,,,no,"Binky Moon, LLC"
637,int,sTLD,,,,,no,Internet Assigned Numbers Authority
638,intel,gTLD,,,,,no,Not assigned
639,international,gTLD,,,,,no,"Binky Moon, LLC"
640,intuit,gTLD,,,,,no,"Intuit Administrative Services, Inc."
641,investments,gTLD,,,,,no,"Binky Moon, LLC"
642,io,ccTLD,,,,,no,Internet Computer Bureau Limited
643,ipiranga,gTLD,,,,,no,Ipiranga Produtos de Petroleo S.A.
644,iq,ccTLD,,,,,no,Communications and Media Commission (CMC)
645,ir,ccTLD,,,,,no,Institute for Research in Fundamental Sciences
646,irish,gTLD,,,,,no,"Binky Moon, LLC"
647,is,ccTLD,,,,,no,ISNIC - Internet Iceland ltd.
648,iselect,gTLD,,,,,no,Not assigned
649,ismaili,gTLD,,,,,no,Fondation Aga Khan (Aga Khan Foundation)
650,ist,gTLD,,,,,no,Istanbul Metropolitan Municipality
651,istanbul,gTLD,,,,,no,Istanbul Metropolitan Municipality
652,it,ccTLD,,,,,no,IIT - CNR
653,itau,gTLD,,,,,no,Itau Unibanco Holding S.A.
654,itv,gTLD,,,,,no,ITV Services Limited
655,iveco,gTLD,,,,,no,CNH Industrial N.V.
656,iwc,gTLD,,,,,no,Not assigned
657,jaguar,gTLD,,,,,no,Jaguar Land Rover Ltd
658,java,gTLD,,,,,no,Oracle Corporation
659,jcb,gTLD,,,,,no,"JCB Co., Ltd."
660,jcp,gTLD,,,,,no,"JCP Media, Inc."
661,je,ccTLD,,,,,no,Island Networks (Jersey) Ltd.
662,jeep,gTLD,,,,,no,FCA US LLC.
663,jetzt,gTLD,,,now,,no,"Binky Moon, LLC"
664,jewelry,gTLD,,,,,no,"Binky Moon, LLC"
665,jio,gTLD,,,,,no,"Affinity Names, Inc."
666,jlc,gTLD,,,,,no,Not assigned
667,jll,gTLD,,,,,no,Jones Lang LaSalle Incorporated
668,jm,ccTLD,,,,,no,University of West Indies
669,jmp,gTLD,,,,,no,Matrix IP LLC
670,jnj,gTLD,,,,,no,"Johnson & Johnson Services, Inc."
671,jo,ccTLD,,,,,no,National Information Technology Center (NITC)
672,jobs,sTLD,,,,,no,Employ Media LLC
673,joburg,gTLD,,,,,no,ZA Central Registry NPC trading as ZA Central Registry
674,jot,gTLD,,,,,no,"Amazon Registry Services, Inc."
675,joy,gTLD,,,,,no,"Amazon Registry Services, Inc."
676,jp,ccTLD,,,,,no,"Japan Registry Services Co., Ltd."
677,jpmorgan,gTLD,,,,,no,"JPMorgan Chase Bank, National Association"
678,jprs,gTLD,,,,,no,"Japan Registry Services Co., Ltd."
679,juegos,gTLD,,,games,,no,"Uniregistry, Corp."
680,juniper,gTLD,,,,,no,"JUNIPER NETWORKS, INC."
681,kaufen,gTLD,,,buy,,no,United TLD Holdco Ltd.
682,kddi,gTLD,,,,,no,KDDI CORPORATION
683,ke,ccTLD,,,,,no,Kenya Network Information Center (KeNIC)
684,kerryhotels,gTLD,,,,,no,Kerry Trading Co. Limited
685,kerrylogistics,gTLD,,,,,no,Kerry Trading Co. Limited
686,kerryproperties,gTLD,,,,,no,Kerry Trading Co. Limited
687,kfh,gTLD,,,,,no,Kuwait Finance House
688,kg,ccTLD,,,,,no,AsiaInfo Telecommunication Enterprise
689,kh,ccTLD,,,,,no,Telecommunication Regulator of Cambodia (TRC)
690,ki,ccTLD,,,,,no,"Ministry of Communications, Transport, and Tourism Development"
691,kia,gTLD,,,,,no,KIA MOTORS CORPORATION
692,kim,gTLD,,,,,no,Afilias Limited
693,kinder,gTLD,,,children,,no,Ferrero Trading Lux S.A.
694,kindle,gTLD,,,,,no,"Amazon Registry Services, Inc."
695,kitchen,gTLD,,,,,no,"Binky Moon, LLC"
696,kiwi,gTLD,,,,,no,DOT KIWI LIMITED
697,km,ccTLD,,,,,no,Comores Telecom
698,kn,ccTLD,,,,,no,"Ministry of Finance, Sustainable Development Information & Technology"
699,koeln,gTLD,,,,,no,dotKoeln GmbH
700,komatsu,gTLD,,,,,no,Komatsu Ltd.
701,kosher,gTLD,,,,,no,Kosher Marketing Assets LLC
702,kp,ccTLD,,,,,no,Star Joint Venture Company
703,kpmg,gTLD,,,,,no,KPMG International Cooperative (KPMG International Genossenschaft)
704,kpn,gTLD,,,,,no,Koninklijke KPN N.V.
705,kr,ccTLD,,,,,no,Korea Internet & Security Agency (KISA)
706,krd,gTLD,,,,,no,KRG Department of Information Technology
707,kred,gTLD,,,,,no,KredTLD Pty Ltd
708,kuokgroup,gTLD,,,,,no,Kerry Trading Co. Limited
709,kw,ccTLD,,,,,no,Communications and Information Technology Regulatory Authority
710,ky,ccTLD,,,,,no,Utility Regulation and Competition Office (OfReg)
711,kyoto,gTLD,,,,,no,Academic Institution: Kyoto Jyoho Gakuen
712,kz,ccTLD,,,,,no,Association of IT Companies of Kazakhstan
713,la,ccTLD,,,,,no,"Lao National Internet Committee (LANIC), Ministry of Posts and Telecommunications"
714,lacaixa,gTLD,,,,,no,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
715,ladbrokes,gTLD,,,,,no,Not assigned
716,lamborghini,gTLD,,,,,no,Automobili Lamborghini S.p.A.
717,lamer,gTLD,,,,,no,The Estée Lauder Companies Inc.
718,lancaster,gTLD,,,,,no,LANCASTER
719,lancia,gTLD,,,,,no,Fiat Chrysler Automobiles N.V.
720,lancome,gTLD,,,,,no,Not assigned
721,land,gTLD,,,,,no,"Binky Moon, LLC"
722,landrover,gTLD,,,,,no,Jaguar Land Rover Ltd
723,lanxess,gTLD,,,,,no,LANXESS Corporation
724,lasalle,gTLD,,,,,no,Jones Lang LaSalle Incorporated
725,lat,gTLD,,,,,no,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico
726,latino,gTLD,,,,,no,Dish DBS Corporation
727,latrobe,gTLD,,,,,no,La Trobe University
728,law,gTLD,,,,,no,LW TLD Limited
729,lawyer,gTLD,,,,,no,"United TLD Holdco, Ltd"
730,lb,ccTLD,,,,,no,American University of Beirut Computing and Networking Services
731,lc,ccTLD,,,,,no,University of Puerto Rico
732,lds,gTLD,,,,,no,"IRI Domain Management, LLC"
733,lease,gTLD,,,,,no,"Binky Moon, LLC"
734,leclerc,gTLD,,,,,no,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc
735,lefrak,gTLD,,,,,no,"LeFrak Organization, Inc."
736,legal,gTLD,,,,,no,"Binky Moon, LLC"
737,lego,gTLD,,,,,no,LEGO Juris A/S
738,lexus,gTLD,,,,,no,TOYOTA MOTOR CORPORATION
739,lgbt,gTLD,,,,,no,Afilias Limited
740,li,ccTLD,,,,,no,SWITCH The Swiss Education & Research Network
741,liaison,gTLD,,,,,no,Not assigned
742,lidl,gTLD,,,,,no,Schwarz Domains und Services GmbH & Co. KG
743,life,gTLD,,,,,no,"Binky Moon, LLC"
744,lifeinsurance,gTLD,,,,,no,American Council of Life Insurers
745,lifestyle,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
746,lighting,gTLD,,,,,no,"Binky Moon, LLC"
747,like,gTLD,,,,,no,"Amazon Registry Services, Inc."
748,lilly,gTLD,,,,,no,Eli Lilly and Company
749,limited,gTLD,,,,,no,"Binky Moon, LLC"
750,limo,gTLD,,,,,no,"Binky Moon, LLC"
751,lincoln,gTLD,,,,,no,Ford Motor Company
752,linde,gTLD,,,,,no,Linde Aktiengesellschaft
753,link,gTLD,,,,,no,"Uniregistry, Corp."
754,lipsy,gTLD,,,,,no,Lipsy Ltd
755,live,gTLD,,,,,no,United TLD Holdco Ltd.
756,living,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
757,lixil,gTLD,,,,,no,LIXIL Group Corporation
758,lk,ccTLD,,,,,no,Council for Information Technology LK Domain Registrar
759,llc,gTLD,,,,,no,Afilias Limited
760,llp,gTLD,,,,,no,Dot Registry LLC
761,loan,gTLD,,,,,no,dot Loan Limited
762,loans,gTLD,,,,,no,"Binky Moon, LLC"
763,locker,gTLD,,,,,no,Dish DBS Corporation
764,locus,gTLD,,,,,no,Locus Analytics LLC
765,loft,gTLD,,,,,no,"Annco, Inc."
766,lol,gTLD,,,,,no,"Uniregistry, Corp."
767,london,gTLD,,,,,no,Dot London Domains Limited
768,lotte,gTLD,,,,,no,"Lotte Holdings Co., Ltd."
769,lotto,gTLD,,,,,no,Afilias Limited
770,love,gTLD,,,,,no,Merchant Law Group LLP
771,lpl,gTLD,,,,,no,"LPL Holdings, Inc."
772,lplfinancial,gTLD,,,,,no,"LPL Holdings, Inc."
773,lr,ccTLD,,,,,no,"Data Technology Solutions, Inc."
774,ls,ccTLD,,,,,no,Lesotho Network Information Centre Proprietary (LSNIC)
775,lt,ccTLD,,,,,no,Kaunas University of Technology
776,ltd,gTLD,,,,,no,"Binky Moon, LLC"
777,ltda,gTLD,,,companies in south america,,no,InterNetX Corp.
778,lu,ccTLD,,,,,no,RESTENA
779,lundbeck,gTLD,,,,,no,H. Lundbeck A/S
780,lupin,gTLD,,,,,no,LUPIN LIMITED
781,luxe,gTLD,,,,,no,Minds + Machines Group Limited
782,luxury,gTLD,,,,,no,Luxury Partners LLC
783,lv,ccTLD,,,,,no,University of Latvia Institute of Mathematics and Computer Science Department of Network Solutions (DNS)
784,ly,ccTLD,,,,,no,General Post and Telecommunication Company
785,ma,ccTLD,,,,,no,Agence Nationale de Réglementation des Télécommunications (ANRT)
786,macys,gTLD,,,,,no,"Macys, Inc."
787,madrid,gTLD,,,,,no,Comunidad de Madrid
788,maif,gTLD,,,,,no,Mutuelle Assurance Instituteur France (MAIF)
789,maison,gTLD,,,house,,no,"Binky Moon, LLC"
790,makeup,gTLD,,,,,no,XYZ.COM LLC
791,man,gTLD,,,,,no,MAN SE
792,management,gTLD,,,,,no,"Binky Moon, LLC"
793,mango,gTLD,,,,,no,PUNTO FA S.L.
794,map,gTLD,,,,,no,Charleston Road Registry Inc.
795,market,gTLD,,,,,no,"United TLD Holdco, Ltd"
796,marketing,gTLD,,,,,no,"Binky Moon, LLC"
797,markets,gTLD,,,,,no,DOTMARKETS REGISTRY LTD
798,marriott,gTLD,,,,,no,Marriott Worldwide Corporation
799,marshalls,gTLD,,,,,no,"The TJX Companies, Inc."
800,maserati,gTLD,,,,,no,Fiat Chrysler Automobiles N.V.
801,mattel,gTLD,,,,,no,"Mattel Sites, Inc."
802,mba,gTLD,,,,,no,"Binky Moon, LLC"
803,mc,ccTLD,,,,,no,Gouvernement de Monaco Direction des Communications Electroniques
804,mcd,gTLD,,,,,no,Not assigned
805,mcdonalds,gTLD,,,,,no,Not assigned
806,mckinsey,gTLD,,,,,no,"McKinsey Holdings, Inc."
807,md,ccTLD,,,,,no,MoldData S.E.
808,me,ccTLD,,,,,no,Government of Montenegro
809,med,gTLD,,,,,no,Medistry LLC
810,media,gTLD,,,,,no,"Binky Moon, LLC"
811,meet,gTLD,,,,,no,Charleston Road Registry Inc.
812,melbourne,gTLD,,,,,no,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation"
813,meme,gTLD,,,,,no,Charleston Road Registry Inc.
814,memorial,gTLD,,,,,no,"Dog Beach, LLC"
815,men,gTLD,,,,,no,Exclusive Registry Limited
816,menu,gTLD,,,,,no,"Wedding TLD2, LLC"
817,meo,gTLD,,,,,no,Not assigned
818,merckmsd,gTLD,,,,,no,"MSD Registry Holdings, Inc."
819,metlife,gTLD,,,,,no,Not assigned
820,mf,ccTLD,,,,,no,Not assigned
821,mg,ccTLD,,,,,no,NIC-MG (Network Information Center Madagascar)
822,mh,ccTLD,,,,,no,Office of the Cabinet
823,miami,gTLD,,,,,no,Minds + Machines Group Limited
824,microsoft,gTLD,,,,,no,Microsoft Corporation
825,mil,sTLD,,,,,no,DoD Network Information Center
826,mini,gTLD,,,,,no,Bayerische Motoren Werke Aktiengesellschaft
827,mint,gTLD,,,,,no,"Intuit Administrative Services, Inc."
828,mit,gTLD,,,,,no,Massachusetts Institute of Technology
829,mitsubishi,gTLD,,,,,no,Mitsubishi Corporation
830,mk,ccTLD,,,,,no,Macedonian Academic Research Network Skopje
831,ml,ccTLD,,,,,no,Agence des Technologies de l’Information et de la Communication
832,mlb,gTLD,,,,,no,"MLB Advanced Media DH, LLC"
833,mls,gTLD,,,,,no,The Canadian Real Estate Association
834,mm,ccTLD,,,,,no,Ministry of Transport and Communications
835,mma,gTLD,,,,,no,MMA IARD
836,mn,ccTLD,,,,,no,"Datacom Co., Ltd."
837,mo,ccTLD,,,,,no,Macao Post and Telecommunications Bureau (CTT)
838,mobi,gTLD,,,,,no,Afilias Technologies Limited dba dotMobi
839,mobile,gTLD,,,,,no,Dish DBS Corporation
840,mobily,gTLD,,,,,no,Not assigned
841,moda,gTLD,,,fashion,,no,United TLD Holdco Ltd.
842,moe,gTLD,,,geek,,no,"Interlink Co., Ltd."
843,moi,gTLD,,,,,no,"Amazon Registry Services, Inc."
844,mom,gTLD,,,,,no,"Uniregistry, Corp."
845,monash,gTLD,,,,,no,Monash University
846,money,gTLD,,,,,no,"Binky Moon, LLC"
847,monster,gTLD,,,,,no,XYZ.COM LLC
848,montblanc,gTLD,,,,,no,Not assigned
849,mopar,gTLD,,,,,no,Not assigned
850,mormon,gTLD,,,,,no,"IRI Domain Management, LLC (""Applicant"")"
851,mortgage,gTLD,,,,,no,"United TLD Holdco, Ltd"
852,moscow,gTLD,,,,,no,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
853,moto,gTLD,,,,,no,"Motorola Trademark Holdings, LLC"
854,motorcycles,gTLD,,,,,no,"DERMotorcycles, LLC"
855,mov,gTLD,,,,,no,Charleston Road Registry Inc.
856,movie,gTLD,,,,,no,"Binky Moon, LLC"
857,movistar,gTLD,,,,,no,Not assigned
858,mp,ccTLD,,,,,no,"Saipan Datacom, Inc."
859,mq,ccTLD,,,,,no,MEDIASERV
860,mr,ccTLD,,,,,no,Université de Nouakchott Al Aasriya
861,ms,ccTLD,,,,,no,MNI Networks Ltd.
862,msd,gTLD,,,,,no,"MSD Registry Holdings, Inc."
863,mt,ccTLD,,,,,no,NIC (Malta)
864,mtn,gTLD,,,,,no,MTN Dubai Limited
865,mtpc,gTLD,,,,,no,Retired
866,mtr,gTLD,,,,,no,MTR Corporation Limited
867,mu,ccTLD,,,,,no,Internet Direct Ltd
868,museum,sTLD,,,,,no,Museum Domain Management Association
869,mutual,gTLD,,,,,no,"Northwestern Mutual MU TLD Registry, LLC"
870,mutuelle,gTLD,,,,,no,Retired
871,mv,ccTLD,,,,,no,Dhiraagu Pvt. Ltd. (DHIVEHINET)
872,mw,ccTLD,,,,,no,Malawi Sustainable Development Network Programme (Malawi SDNP)
873,mx,ccTLD,,,,,no,NIC-Mexico ITESM - Campus Monterrey
874,my,ccTLD,,,,,no,MYNIC Berhad
875,mz,ccTLD,,,,,no,Centro de Informatica de Universidade Eduardo Mondlane
876,na,ccTLD,,,,,no,Namibian Network Information Center
877,nab,gTLD,,,,,no,National Australia Bank Limited
878,nadex,gTLD,,,,,no,Not assigned
879,nagoya,gTLD,,,,,no,"GMO Registry, Inc."
880,name,grTLD,,,,,no,"VeriSign Information Services, Inc."
881,nationwide,gTLD,,,,,no,Nationwide Mutual Insurance Company
882,natura,gTLD,,,,,no,NATURA COSMÉTICOS S.A.
883,navy,gTLD,,,,,no,United TLD Holdco Ltd.
884,nba,gTLD,,,,,no,"NBA REGISTRY, LLC"
885,nc,ccTLD,,,,,no,Office des Postes et Telecommunications
886,ne,ccTLD,,,,,no,SONITEL
887,nec,gTLD,,,,,no,NEC Corporation
888,net,gTLD,,,,,no,VeriSign Global Registry Services
889,netbank,gTLD,,,,,no,COMMONWEALTH BANK OF AUSTRALIA
890,netflix,gTLD,,,,,no,"Netflix, Inc."
891,network,gTLD,,,,,no,"Binky Moon, LLC"
892,neustar,gTLD,,,,,no,"NeuStar, Inc."
893,new,gTLD,,,,,no,Charleston Road Registry Inc.
894,newholland,gTLD,,,,,no,CNH Industrial N.V.
895,news,gTLD,,,,,no,United TLD Holdco Ltd.
896,next,gTLD,,,,,no,Next plc
897,nextdirect,gTLD,,,,,no,Next plc
898,nexus,gTLD,,,,,no,Charleston Road Registry Inc.
899,nf,ccTLD,,,,,no,Norfolk Island Data Services
