,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
89,auspost,gTLD,,,,,no,Australian Postal Corporation
90,author,gTLD,,,,,no,"Amazon Registry Services, Inc."
91,auto,gTLD,,,,,no,XYZ.COM LLC
92,autos,gTLD,,,,,no,"DERAutos, LLC"
93,avianca,gTLD,,,,,no,Avianca Holdings S.A.
94,aw,ccTLD,,,,,no,SETAR
95,aws,gTLD,,,,,no,"Amazon Registry Services, Inc."
96,ax,ccTLD,,,,,no,Ålands landskapsregering
97,axa,gTLD,,,,,no,AXA SA
98,az,ccTLD,,,,,no,IntraNS
99,azure,gTLD,,,,,no,Microsoft Corporation
100,ba,ccTLD,,,,,no,Universtiy Telinformatic Centre (UTIC)
101,baby,gTLD,,,,,no,XYZ.COM LLC
102,baidu,gTLD,,,,,no,"Baidu, Inc."
103,banamex,gTLD,,,,,no,Citigroup Inc.
104,bananarepublic,gTLD,,,,,no,"The Gap, Inc."
105,band,gTLD,,,,,no,"United TLD Holdco, Ltd"
106,bank,gTLD,,,,,no,"fTLD Registry Services, LLC"
107,bar,gTLD,,,,,no,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
108,barcelona,gTLD,,,,,no,Municipi de Barcelona
109,barclaycard,gTLD,,,,,no,Barclays Bank PLC
110,barclays,gTLD,,,,,no,Barclays Bank PLC
111,barefoot,gTLD,,,,,no,"Gallo Vineyards, Inc."
112,bargains,gTLD,,,,,no,"Binky Moon, LLC"
113,baseball,gTLD,,,,,no,"MLB Advanced Media DH, LLC"
114,basketball,gTLD,,,,,no,Fédération Internationale de Basketball (FIBA)
115,bauhaus,gTLD,,,,,no,Werkhaus GmbH
116,bayern,gTLD,,,,,no,Bayern Connect GmbH
117,bb,ccTLD,,,,,no,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
118,bbc,gTLD,,,,,no,British Broadcasting Corporation
119,bbt,gTLD,,,,,no,BB&T Corporation
120,bbva,gTLD,,,,,no,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
121,bcg,gTLD,,,,,no,"The Boston Consulting Group, Inc."
122,bcn,gTLD,,,,,no,Municipi de Barcelona
123,bd,ccTLD,,,,,no,Posts and Telecommunications Division
124,be,ccTLD,,,,,no,DNS Belgium vzw/asbl
125,beats,gTLD,,,,,no,"Beats Electronics, LLC"
126,beauty,gTLD,,,,,no,XYZ.COM LLC
127,beer,gTLD,,,,,no,Minds + Machines Group Limited
128,bentley,gTLD,,,,,no,Bentley Motors Limited
129,berlin,gTLD,,,,,no,dotBERLIN GmbH & Co. KG
130,best,gTLD,,,,,no,BestTLD Pty Ltd
131,bestbuy,gTLD,,,,,no,"BBY Solutions, Inc."
132,bet,gTLD,,,,,no,Afilias Limited
133,bf,ccTLD,,,,,no,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
134,bg,ccTLD,,,,,no,Register.BG
135,bh,ccTLD,,,,,no,Telecommunications Regulatory Authority (TRA)
136,bharti,gTLD,,,,,no,Bharti Enterprises (Holding) Private Limited
137,bi,ccTLD,,,,,no,Centre National de l'Informatique
138,bible,gTLD,,,,,no,American Bible Society
139,bid,gTLD,,,,,no,dot Bid Limited
140,bike,gTLD,,,,,no,"Binky Moon, LLC"
141,bing,gTLD,,,,,no,Microsoft Corporation
142,bingo,gTLD,,,,,no,"Binky Moon, LLC"
143,bio,gTLD,,,,,no,Afilias Limited
144,biz,grTLD,,,,,no,"Registry Services, LLC"
145,bj,ccTLD,,,,,no,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN)
146,bl,ccTLD,,,,,no,Not assigned
147,black,gTLD,,,,,no,Afilias Limited
148,blackfriday,gTLD,,,,,no,"Uniregistry, Corp."
149,blanco,gTLD,,,,,no,Not assigned
150,blockbuster,gTLD,,,,,no,Dish DBS Corporation
151,blog,gTLD,,,,,no,"Knock Knock WHOIS There, LLC"
152,bloomberg,gTLD,,,,,no,Bloomberg IP Holdings LLC
153,blue,gTLD,,,,,no,Afilias Limited
154,bm,ccTLD,,,,,no,"Registry General Department, Ministry of Home Affairs"
155,bms,gTLD,,,,,no,Bristol-Myers Squibb Company
156,bmw,gTLD,,,,,no,Bayerische Motoren Werke Aktiengesellschaft
157,bn,ccTLD,,,,,no,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)
158,bnl,gTLD,,,,,no,Not assigned
159,bnpparibas,gTLD,,,,,no,BNP Paribas
160,bo,ccTLD,,,,,no,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
161,boats,gTLD,,,,,no,"DERBoats, LLC"
162,boehringer,gTLD,,,,,no,Boehringer Ingelheim International GmbH
163,bofa,gTLD,,,,,no,Bank of America Corporation
164,bom,gTLD,,,good,,no,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
165,bond,gTLD,,,,,no,Shortdot SA
166,boo,gTLD,,,,,no,Charleston Road Registry Inc.
167,book,gTLD,,,,,no,"Amazon Registry Services, Inc."
168,booking,gTLD,,,,,no,Booking.com B.V.
169,boots,gTLD,,,,,no,Not assigned
170,bosch,gTLD,,,,,no,Robert Bosch GMBH
171,bostik,gTLD,,,,,no,Bostik SA
172,boston,gTLD,,,,,no,"Boston TLD Management, LLC"
173,bot,gTLD,,,,,no,"Amazon Registry Services, Inc."
174,boutique,gTLD,,,,,no,"Binky Moon, LLC"
175,box,gTLD,,,,,no,Intercap Registry Inc.
176,bq,ccTLD,,,,,no,Not assigned
177,br,ccTLD,,,,,no,Comite Gestor da Internet no Brasil
178,bradesco,gTLD,,,,,no,Banco Bradesco S.A.
179,bridgestone,gTLD,,,,,no,Bridgestone Corporation
180,broadway,gTLD,,,,,no,"Celebrate Broadway, Inc."
181,broker,gTLD,,,,,no,DOTBROKER REGISTRY LTD
182,brother,gTLD,,,,,no,"Brother Industries, Ltd."
183,brussels,gTLD,,,,,no,DNS.be vzw
184,bs,ccTLD,,,,,no,University of The Bahamas
185,bt,ccTLD,,,,,no,Ministry of Information and Communications
186,budapest,gTLD,,,,,no,Minds + Machines Group Limited
187,bugatti,gTLD,,,,,no,Bugatti International SA
188,build,gTLD,,,,,no,Plan Bee LLC
189,builders,gTLD,,,,,no,"Binky Moon, LLC"
190,business,gTLD,,,,,no,"Binky Moon, LLC"
191,buy,gTLD,,,,,no,"Amazon Registry Services, INC"
192,buzz,gTLD,,,,,no,DOTSTRATEGY CO.
193,bv,ccTLD,,,,,no,Norid A/S
194,bw,ccTLD,,,,,no,Botswana Communications Regulatory Authority (BOCRA)
195,by,ccTLD,,,,,no,"Reliable Software, Ltd."
196,bz,ccTLD,,,,,no,University of Belize
197,bzh,gTLD,,,,,no,Association www.bzh
198,ca,ccTLD,,,,,no,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
199,cab,gTLD,,,,,no,"Binky Moon, LLC"
200,cafe,gTLD,,,café,,no,"Binky Moon, LLC"
201,cal,gTLD,,,,,no,Charleston Road Registry Inc.
202,call,gTLD,,,,,no,"Amazon Registry Services, Inc."
203,calvinklein,gTLD,,,,,no,PVH gTLD Holdings LLC
204,cam,gTLD,,,,,no,AC Webconnecting Holding B.V.
205,camera,gTLD,,,,,no,"Binky Moon, LLC"
206,camp,gTLD,,,,,no,"Binky Moon, LLC"
207,cancerresearch,gTLD,,,,,no,Australian Cancer Research Foundation
208,canon,gTLD,,,,,no,Canon Inc.
209,capetown,gTLD,,,,,no,ZA Central Registry NPC trading as ZA Central Registry
210,capital,gTLD,,,,,no,"Binky Moon, LLC"
211,capitalone,gTLD,,,,,no,Capital One Financial Corporation
212,car,gTLD,,,,,no,XYZ.COM LLC
213,caravan,gTLD,,,,,no,"Caravan International, Inc."
214,cards,gTLD,,,,,no,"Binky Moon, LLC"
215,care,gTLD,,,,,no,"Binky Moon, LLC"
216,career,gTLD,,,,,no,dotCareer LLC
217,careers,gTLD,,,,,no,"Binky Moon, LLC"
218,cars,gTLD,,,,,no,XYZ.COM LLC
219,cartier,gTLD,,,,,no,Not assigned
220,casa,gTLD,,,house,,no,Minds + Machines Group Limited
221,case,gTLD,,,,,no,CNH Industrial N.V.
222,caseih,gTLD,,,,,no,CNH Industrial N.V.
223,cash,gTLD,,,,,no,"Binky Moon, LLC"
224,casino,gTLD,,,,,no,"Binky Moon, LLC"
225,cat,sTLD,,,,,no,Fundacio puntCAT
226,catering,gTLD,,,,,no,"Binky Moon, LLC"
227,catholic,gTLD,,,,,no,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
228,cba,gTLD,,,,,no,COMMONWEALTH BANK OF AUSTRALIA
229,cbn,gTLD,,,,,no,"The Christian Broadcasting Network, Inc."
230,cbre,gTLD,,,,,no,"CBRE, Inc."
231,cbs,gTLD,,,,,no,CBS Domains Inc.
232,cc,ccTLD,,,,,no,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
233,cd,ccTLD,,,,,no,Office Congolais des Postes et Télécommunications - OCPT
234,ceb,gTLD,,,,,no,The Corporate Executive Board Company
235,center,gTLD,,,,,no,"Binky Moon, LLC"
236,ceo,gTLD,,,,,no,CEOTLD Pty Ltd
237,cern,gTLD,,,,,no,"European Organization for Nuclear Research (""CERN"")"
238,cf,ccTLD,,,,,no,Societe Centrafricaine de Telecommunications (SOCATEL)
239,cfa,gTLD,,,,,no,CFA Institute
240,cfd,gTLD,,,,,no,DOTCFD REGISTRY LTD
241,cg,ccTLD,,,,,no,Interpoint Switzerland
242,ch,ccTLD,,,,,no,SWITCH The Swiss Education & Research Network
243,chanel,gTLD,,,,,no,Chanel International B.V.
244,channel,gTLD,,,,,no,Charleston Road Registry Inc.
245,charity,gTLD,,,,,no,"Corn Lake, LLC"
246,chase,gTLD,,,,,no,"JPMorgan Chase Bank, National Association"
247,chat,gTLD,,,,,no,"Binky Moon, LLC"
248,cheap,gTLD,,,,,no,"Binky Moon, LLC"
249,chintai,gTLD,,,,,no,CHINTAI Corporation
250,chloe,gTLD,,,,,no,Not assigned
251,christmas,gTLD,,,,,no,"Uniregistry, Corp."
252,chrome,gTLD,,,,,no,Charleston Road Registry Inc.
253,chrysler,gTLD,,,,,no,Not assigned
254,church,gTLD,,,,,no,"Binky Moon, LLC"
255,ci,ccTLD,,,,,no,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)
256,cipriani,gTLD,,,,,no,Hotel Cipriani Srl
257,circle,gTLD,,,,,no,"Amazon Registry Services, Inc."
258,cisco,gTLD,,,,,no,"Cisco Technology, Inc."
259,citadel,gTLD,,,,,no,Citadel Domain LLC
260,citi,gTLD,,,,,no,Citigroup Inc.
261,citic,gTLD,,,,,no,CITIC Group Corporation
262,city,gTLD,,,,,no,"Binky Moon, LLC"
263,cityeats,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
264,ck,ccTLD,,,,,no,Telecom Cook Islands Ltd.
265,cl,ccTLD,,,,,no,NIC Chile (University of Chile)
266,claims,gTLD,,,,,no,"Binky Moon, LLC"
267,cleaning,gTLD,,,,,no,"Binky Moon, LLC"
268,click,gTLD,,,,,no,"Uniregistry, Corp."
269,clinic,gTLD,,,,,no,"Binky Moon, LLC"
270,clinique,gTLD,,,,,no,The Estée Lauder Companies Inc.
271,clothing,gTLD,,,,,no,"Binky Moon, LLC"
272,cloud,gTLD,,,,,no,ARUBA PEC S.p.A.
273,club,gTLD,,,,,no,".CLUB DOMAINS, LLC"
274,clubmed,gTLD,,,,,no,Club Méditerranée S.A.
275,cm,ccTLD,,,,,no,Cameroon Telecommunications (CAMTEL)
276,cn,ccTLD,,,,,no,China Internet Network Information Center (CNNIC)
277,co,ccTLD,,,,,no,Ministry of Information and Communications Technologies (MinTIC)
278,coach,gTLD,,,,,no,"Binky Moon, LLC"
279,codes,gTLD,,,,,no,"Binky Moon, LLC"
280,coffee,gTLD,,,,,no,"Binky Moon, LLC"
281,college,gTLD,,,,,no,XYZ.COM LLC
282,cologne,gTLD,,,,,no,dotKoeln GmbH
283,com,gTLD,,,,,no,VeriSign Global Registry Services
284,comcast,gTLD,,,,,no,"Comcast IP Holdings I, LLC"
285,commbank,gTLD,,,,,no,COMMONWEALTH BANK OF AUSTRALIA
286,community,gTLD,,,,,no,"Binky Moon, LLC"
287,company,gTLD,,,,,no,"Binky Moon, LLC"
288,compare,gTLD,,,,,no,"Registry Services, LLC"
