,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
46,conference.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
47,consultant.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
48,consulting.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
49,control.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
50,council.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
51,crew.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
52,design.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
53,dgca.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
54,educator.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
55,emergency.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
56,engine.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
57,engineer.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
58,entertainment.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
59,equipment.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
60,exchange.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
61,express.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
62,federation.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
63,flight.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
64,fuel.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
65,gliding.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
66,government.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
67,groundhandling.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
68,group.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
69,hanggliding.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
70,homebuilt.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
71,insurance.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
72,journal.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
