,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
1642,ac.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1643,com.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1644,edu.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1645,gov.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1646,org.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1647,net.gn,gn,,,True,True,country-code,country-code,icann,gn,Centre National des Sciences Halieutiques de Boussoura
1648,gov,gov,,,True,True,sponsored,sponsored,icann,gov,Cybersecurity and Infrastructure Security Agency
1649,gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1650,com.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1651,net.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1652,mobi.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1653,edu.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1654,org.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1655,asso.gp,gp,,,True,True,country-code,country-code,icann,gp,Networking Technologies Group
1656,app.gp,gp,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Networking Technologies Group
1657,gq,gq,,,True,True,country-code,country-code,icann,gq,GETESA
1658,gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1659,com.gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1660,edu.gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1661,net.gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1662,org.gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1663,gov.gr,gr,,,True,True,country-code,country-code,icann,gr,ICS-FORTH GR
1664,blogspot.gr,gr,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,ICS-FORTH GR
1665,gs,gs,,,True,True,country-code,country-code,icann,gs,Government of South Georgia and South Sandwich Islands (GSGSSI)
1666,gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1667,com.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1668,edu.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1669,gob.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1670,ind.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1671,mil.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1672,net.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1673,org.gt,gt,,,True,True,country-code,country-code,icann,gt,Universidad del Valle de Guatemala
1674,blog.gt,gt,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Universidad del Valle de Guatemala
1675,de.gt,gt,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Universidad del Valle de Guatemala
1676,to.gt,gt,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Universidad del Valle de Guatemala
1677,gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1678,com.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1679,edu.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1680,gov.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1681,guam.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1682,info.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1683,net.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1684,org.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1685,web.gu,gu,,,True,True,country-code,country-code,icann,University of Guam,University of Guam
1686,gw,gw,,,True,True,country-code,country-code,icann,gw,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
1687,gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1688,co.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1689,com.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1690,edu.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1691,gov.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1692,net.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1693,org.gy,gy,,,True,True,country-code,country-code,icann,gy,University of Guyana
1694,be.gy,gy,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,University of Guyana
1695,hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1696,com.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1697,edu.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1698,gov.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1699,idv.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1700,net.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1701,org.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1702,公司.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1703,教育.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1704,敎育.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1705,政府.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1706,個人.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1707,个人.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1708,箇人.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1709,網络.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1710,网络.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1711,组織.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1712,網絡.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1713,网絡.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1714,组织.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1715,組織.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1716,組织.hk,hk,,,True,True,country-code,country-code,icann,hk,Hong Kong Internet Registration Corporation Ltd.
1717,blogspot.hk,hk,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Hong Kong Internet Registration Corporation Ltd.
1718,secaas.hk,hk,,,True,True,private-domains,country-code,private-domains,Heroku,Hong Kong Internet Registration Corporation Ltd.
1719,ltd.hk,hk,,,True,True,private-domains,country-code,private-domains,UDR Limited,Hong Kong Internet Registration Corporation Ltd.
1720,inc.hk,hk,,,True,True,private-domains,country-code,private-domains,UDR Limited,Hong Kong Internet Registration Corporation Ltd.
1721,hm,hm,,,True,True,country-code,country-code,icann,hm,HM Domain Registry
1722,hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1723,com.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1724,edu.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1725,org.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1726,net.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1727,mil.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1728,gob.hn,hn,,,True,True,country-code,country-code,icann,hn,Red de Desarrollo Sostenible Honduras
1729,cc.hn,hn,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Red de Desarrollo Sostenible Honduras
1730,hr,hr,,,True,True,country-code,country-code,icann,hr,CARNet - Croatian Academic and Research Network
1731,iz.hr,hr,,,True,True,country-code,country-code,icann,hr,CARNet - Croatian Academic and Research Network
1732,from.hr,hr,,,True,True,country-code,country-code,icann,hr,CARNet - Croatian Academic and Research Network
1733,name.hr,hr,,,True,True,country-code,country-code,icann,hr,CARNet - Croatian Academic and Research Network
1734,com.hr,hr,,,True,True,country-code,country-code,icann,hr,CARNet - Croatian Academic and Research Network
1735,blogspot.hr,hr,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,CARNet - Croatian Academic and Research Network
1736,free.hr,hr,,,True,True,private-domains,country-code,private-domains,GünstigBestellen,CARNet - Croatian Academic and Research Network
1737,ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1738,com.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1739,shop.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1740,firm.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1741,info.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1742,adult.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1743,net.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1744,pro.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1745,org.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1746,med.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1747,art.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1748,coop.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1749,pol.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1750,asso.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1751,edu.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1752,rel.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1753,gouv.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1754,perso.ht,ht,,,True,True,country-code,country-code,icann,ht,Consortium FDS/RDDH
1755,hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1756,co.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1757,info.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1758,org.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1759,priv.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1760,sport.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1761,tm.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1762,2000.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1763,agrar.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1764,bolt.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1765,casino.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1766,city.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1767,erotica.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1768,erotika.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1769,film.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1770,forum.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1771,games.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1772,hotel.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1773,ingatlan.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1774,jogasz.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1775,konyvelo.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1776,lakas.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1777,media.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1778,news.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1779,reklam.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1780,sex.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1781,shop.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1782,suli.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1783,szex.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1784,tozsde.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1785,utazas.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1786,video.hu,hu,,,True,True,country-code,country-code,icann,hu,Council of Hungarian Internet Providers (CHIP)
1787,blogspot.hu,hu,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Council of Hungarian Internet Providers (CHIP)
1788,id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1789,ac.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1790,biz.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1791,co.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1792,desa.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1793,go.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1794,mil.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1795,my.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1796,net.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1797,or.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1798,ponpes.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1799,sch.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1800,web.id,id,,,True,True,country-code,country-code,icann,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1801,*.rss.my.id,id,,,True,True,private-domains,country-code,private-domains,Diher Solutions,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1802,flap.id,id,,,True,True,private-domains,country-code,private-domains,FLAP,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1803,blogspot.co.id,id,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1804,forte.id,id,,,True,True,private-domains,country-code,private-domains,"MobileEducation, LLC",Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1805,bloger.id,id,,,True,True,private-domains,country-code,private-domains,WapBlog.ID,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1806,wblog.id,id,,,True,True,private-domains,country-code,private-domains,WapBlog.ID,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
1807,ie,ie,,,True,True,country-code,country-code,icann,ie,University College Dublin Computing Services Computer Centre
1808,gov.ie,ie,,,True,True,country-code,country-code,icann,ie,University College Dublin Computing Services Computer Centre
1809,blogspot.ie,ie,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,University College Dublin Computing Services Computer Centre
1810,myspreadshop.ie,ie,,,True,True,private-domains,country-code,private-domains,Spreadshop (sprd.net AG),University College Dublin Computing Services Computer Centre
1811,il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1812,ac.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1813,co.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1814,gov.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1815,idf.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1816,k12.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1817,muni.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1818,net.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1819,org.il,il,,,True,True,country-code,country-code,icann,il,The Israel Internet Association (RA)
1820,ravpage.co.il,il,,,True,True,private-domains,country-code,private-domains,RavPage,The Israel Internet Association (RA)
1821,blogspot.co.il,il,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,The Israel Internet Association (RA)
1822,tabitorder.co.il,il,,,True,True,private-domains,country-code,private-domains,Tabit Technologies Ltd.,The Israel Internet Association (RA)
1823,im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1824,ac.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1825,co.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1826,com.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1827,ltd.co.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1828,net.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1829,org.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1830,plc.co.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1831,tt.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1832,tv.im,im,,,True,True,country-code,country-code,icann,im,Isle of Man Government
1833,ro.im,im,,,True,True,private-domains,country-code,private-domains,UKHomeOffice,Isle of Man Government
1834,in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1835,co.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1836,firm.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1837,net.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1838,org.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1839,gen.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1840,ind.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1841,nic.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1842,ac.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1843,edu.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1844,res.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1845,gov.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1846,mil.in,in,,,True,True,country-code,country-code,icann,in,National Internet Exchange of India
1847,web.in,in,,,True,True,private-domains,country-code,private-domains,Radix FZC,National Internet Exchange of India
1848,cloudns.in,in,,,True,True,private-domains,country-code,private-domains,Cloud DNS Ltd,National Internet Exchange of India
1849,blogspot.in,in,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,National Internet Exchange of India
1850,barsy.in,in,,,True,True,private-domains,country-code,private-domains,Lukanet Ltd,National Internet Exchange of India
1851,supabase.in,in,,,True,True,private-domains,country-code,private-domains,Supabase,National Internet Exchange of India
1852,info,info,,,True,True,generic,generic,icann,info,Afilias Limited
1853,cloudns.info,info,,,True,True,private-domains,generic,private-domains,Cloud DNS Ltd,Afilias Limited
1854,dynamic-dns.info,info,,,True,True,private-domains,generic,private-domains,COSIMO GmbH,Afilias Limited
1855,dyndns.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1856,barrel-of-knowledge.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1857,barrell-of-knowledge.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1858,for-our.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1859,groks-the.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1860,groks-this.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1861,here-for-more.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1862,knowsitall.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1863,selfip.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1864,webhop.info,info,,,True,True,private-domains,generic,private-domains,DynDNS.com,Afilias Limited
1865,barsy.info,info,,,True,True,private-domains,generic,private-domains,Lukanet Ltd,Afilias Limited
1866,mayfirst.info,info,,,True,True,private-domains,generic,private-domains,May First - People Link,Afilias Limited
1867,forumz.info,info,,,True,True,private-domains,generic,private-domains,Now-DNS,Afilias Limited
1868,nsupdate.info,info,,,True,True,private-domains,generic,private-domains,nsupdate.info,Afilias Limited
1869,dvrcam.info,info,,,True,True,private-domains,generic,private-domains,No-IP.com,Afilias Limited
1870,ilovecollege.info,info,,,True,True,private-domains,generic,private-domains,No-IP.com,Afilias Limited
1871,no-ip.info,info,,,True,True,private-domains,generic,private-domains,No-IP.com,Afilias Limited
1872,dnsupdate.info,info,,,True,True,private-domains,generic,private-domains,urown.net,Afilias Limited
1873,v-info.info,info,,,True,True,private-domains,generic,private-domains,Virtual-Info,Afilias Limited
1874,int,int,,,True,True,sponsored,sponsored,icann,int,Internet Assigned Numbers Authority
1875,eu.int,int,,,True,True,sponsored,sponsored,icann,int,Internet Assigned Numbers Authority
1876,io,io,,,True,True,country-code,country-code,icann,io,Internet Computer Bureau Limited
1877,com.io,io,,,True,True,country-code,country-code,icann,io,Internet Computer Bureau Limited
1878,apigee.io,io,,,True,True,private-domains,country-code,private-domains,Apigee,Internet Computer Bureau Limited
1879,b-data.io,io,,,True,True,private-domains,country-code,private-domains,b-data GmbH,Internet Computer Bureau Limited
1880,backplaneapp.io,io,,,True,True,private-domains,country-code,private-domains,backplane,Internet Computer Bureau Limited
1881,app.banzaicloud.io,io,,,True,True,private-domains,country-code,private-domains,University of Banja Luka,Internet Computer Bureau Limited
1882,*.backyards.banzaicloud.io,io,,,True,True,private-domains,country-code,private-domains,University of Banja Luka,Internet Computer Bureau Limited
1883,bitbucket.io,io,,,True,True,private-domains,country-code,private-domains,Bitbucket,Internet Computer Bureau Limited
1884,bluebite.io,io,,,True,True,private-domains,country-code,private-domains,"Blue Bite, LLC",Internet Computer Bureau Limited
1885,boxfuse.io,io,,,True,True,private-domains,country-code,private-domains,Boxfuse,Internet Computer Bureau Limited
1886,browsersafetymark.io,io,,,True,True,private-domains,country-code,private-domains,Brendly,Internet Computer Bureau Limited
1887,uk0.bigv.io,io,,,True,True,private-domains,country-code,private-domains,Bytemark Hosting,Internet Computer Bureau Limited
1888,cleverapps.io,io,,,True,True,private-domains,country-code,private-domains,Clever Cloud,Internet Computer Bureau Limited
1889,dyndns.dappnode.io,io,,,True,True,private-domains,country-code,private-domains,dappnode.io,Internet Computer Bureau Limited
1890,dedyn.io,io,,,True,True,private-domains,country-code,private-domains,deSEC,Internet Computer Bureau Limited
1891,drud.io,io,,,True,True,private-domains,country-code,private-domains,"Drud Holdings, LLC.",Internet Computer Bureau Limited
1892,definima.io,io,,,True,True,private-domains,country-code,private-domains,Definima,Internet Computer Bureau Limited
1893,fh-muenster.io,io,,,True,True,private-domains,country-code,private-domains,FH Muenster,Internet Computer Bureau Limited
1894,shw.io,io,,,True,True,private-domains,country-code,private-domains,FlashDrive,Internet Computer Bureau Limited
1895,id.forgerock.io,io,,,True,True,private-domains,country-code,private-domains,Flynn,Internet Computer Bureau Limited
1896,ghost.io,io,,,True,True,private-domains,country-code,private-domains,Ghost Foundation,Internet Computer Bureau Limited
1897,github.io,io,,,True,True,private-domains,country-code,private-domains,Ghost Foundation,Internet Computer Bureau Limited
1898,gitlab.io,io,,,True,True,private-domains,country-code,private-domains,Ghost Foundation,Internet Computer Bureau Limited
1899,lolipop.io,io,,,True,True,private-domains,country-code,private-domains,"GMO Pepabo, Inc.",Internet Computer Bureau Limited
1900,hasura-app.io,io,,,True,True,private-domains,country-code,private-domains,Hasura,Internet Computer Bureau Limited
1901,hostyhosting.io,io,,,True,True,private-domains,country-code,private-domains,HOSTBIP REGISTRY,Internet Computer Bureau Limited
1902,*.moonscale.io,io,,,True,True,private-domains,country-code,private-domains,Ici la Lune,Internet Computer Bureau Limited
1903,paas.beebyte.io,io,,,True,True,private-domains,country-code,private-domains,"Jelastic, Inc.",Internet Computer Bureau Limited
1904,sekd1.beebyteapp.io,io,,,True,True,private-domains,country-code,private-domains,"Jelastic, Inc.",Internet Computer Bureau Limited
1905,jele.io,io,,,True,True,private-domains,country-code,private-domains,"Jelastic, Inc.",Internet Computer Bureau Limited
1906,cloud-fr1.unispace.io,io,,,True,True,private-domains,country-code,private-domains,"Jelastic, Inc.",Internet Computer Bureau Limited
1907,webthings.io,io,,,True,True,private-domains,country-code,private-domains,Krellian Ltd.,Internet Computer Bureau Limited
1908,loginline.io,io,,,True,True,private-domains,country-code,private-domains,Log'in Line,Internet Computer Bureau Limited
1909,barsy.io,io,,,True,True,private-domains,country-code,private-domains,Lukanet Ltd,Internet Computer Bureau Limited
1910,*.azurecontainer.io,io,,,True,True,private-domains,country-code,private-domains,Microsoft Corporation,Internet Computer Bureau Limited
1911,ngrok.io,io,,,True,True,private-domains,country-code,private-domains,ngrok,Internet Computer Bureau Limited
1912,stage.nodeart.io,io,,,True,True,private-domains,country-code,private-domains,NodeArt,Internet Computer Bureau Limited
1913,nid.io,io,,,True,True,private-domains,country-code,private-domains,One Fold Media,Internet Computer Bureau Limited
1914,pantheonsite.io,io,,,True,True,private-domains,country-code,private-domains,"Pantheon Systems, Inc.",Internet Computer Bureau Limited
1915,dyn53.io,io,,,True,True,private-domains,country-code,private-domains,Port53,Internet Computer Bureau Limited
1916,pstmn.io,io,,,True,True,private-domains,country-code,private-domains,"Postman, Inc",Internet Computer Bureau Limited
1917,mock.pstmn.io,io,,,True,True,private-domains,country-code,private-domains,"Postman, Inc",Internet Computer Bureau Limited
1918,protonet.io,io,,,True,True,private-domains,country-code,private-domains,Protonet GmbH,Internet Computer Bureau Limited
